base_run_id,source_run_id,target_run_id,strategy,stage1_config,source_files,finetune_config
2a7j9xfb,2a7j9xfb-stage1,2a7j9xfb-stage2-fn-fixed,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,sweep_jepa_random_student_rate_stage1_select_log_cropping.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning.yml
ykc5xtj5,ykc5xtj5-stage1,ykc5xtj5-stage2-fn-fixed,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,sweep_jepa_random_student_rate_stage1_select_log_cropping.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning.yml
k6fvsuw0,k6fvsuw0-stage1,k6fvsuw0-stage2-fn-fixed,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,sweep_jepa_random_student_rate_stage1_select_log_cropping.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning.yml
4pmuvrrw,4pmuvrrw-stage1,4pmuvrrw-stage2-fn-fixed,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,sweep_jepa_random_student_rate_stage1_select_log_cropping.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning.yml
wpiya6o0,wpiya6o0-stage1,wpiya6o0-stage2-fn-fixed,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,sweep_jepa_random_student_rate_stage1_select_log_cropping.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning.yml
m0wkjh43,m0wkjh43-stage1,m0wkjh43-stage2-fn-fixed,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,sweep_jepa_random_student_rate_stage1_select_log_cropping.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning.yml
riw0cpsk,riw0cpsk-stage1,riw0cpsk-stage2-fn-fixed,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,sweep_jepa_random_student_rate_stage1_select_log_cropping.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning.yml
lzdwh3bg,lzdwh3bg-stage1,lzdwh3bg-stage2-fn-fixed,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,sweep_jepa_random_student_rate_stage1_select_log_cropping.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning.yml
6fyxobrt,6fyxobrt-stage1,6fyxobrt-stage2-fn-fixed,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml,sweep_jepa_random_student_rate_stage1_select_log_cropping.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning.yml
wakyxoi7,wakyxoi7-stage1,wakyxoi7-stage2-fn-fixed,./config/config_jepa_frozen_2drope_qkrms_student_healpix.yml,./config/config_jepa_frozen_2drope_qkrms_student_healpix.yml,sweep_jepa_random_student_rate_stage1_select_log_healpix.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning.yml
