base_run_id,source_run_id,target_run_id,strategy,stage1_config,source_files,finetune_config
st8zgih3,st8zgih3-stage1,st8zgih3-stage2-q-fn-fixed,./config/config_jepa_ema_2drope_qkrms_student_cropping.yml,./config/config_jepa_ema_2drope_qkrms_student_cropping.yml,sweep_jepa_random_student_rate_stage1_select_qzt_log_q_cropping.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning_q_abl_stage2.yml
i7zspy9z,i7zspy9z-stage1,i7zspy9z-stage2-q-fn-fixed,./config/config_jepa_ema_2drope_qkrms_student_cropping.yml,./config/config_jepa_ema_2drope_qkrms_student_cropping.yml,sweep_jepa_random_student_rate_stage1_select_qzt_log_q_cropping.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning_q_abl_stage2.yml
sm7j4d6q,sm7j4d6q-stage1,sm7j4d6q-stage2-q-fn-fixed,./config/config_jepa_ema_2drope_qkrms_student_cropping.yml,./config/config_jepa_ema_2drope_qkrms_student_cropping.yml,sweep_jepa_random_student_rate_stage1_select_qzt_log_q_cropping.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning_q_abl_stage2.yml
k6nou8h5,k6nou8h5-stage1,k6nou8h5-stage2-q-fn-fixed,./config/config_jepa_ema_2drope_qkrms_student_cropping.yml,./config/config_jepa_ema_2drope_qkrms_student_cropping.yml,sweep_jepa_random_student_rate_stage1_select_qzt_log_q_cropping.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning_q_abl_stage2.yml
esr3lc5s,esr3lc5s-stage1,esr3lc5s-stage2-q-fn-fixed,./config/config_jepa_ema_2drope_qkrms_student_healpix.yml,./config/config_jepa_ema_2drope_qkrms_student_healpix.yml,sweep_jepa_random_student_rate_stage1_select_qzt_log_q_healpix.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning_q_abl_stage2.yml
xd2hlkjg,xd2hlkjg-stage1,xd2hlkjg-stage2-q-fn-fixed,./config/config_jepa_ema_2drope_qkrms_student_healpix.yml,./config/config_jepa_ema_2drope_qkrms_student_healpix.yml,sweep_jepa_random_student_rate_stage1_select_qzt_log_q_healpix.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning_q_abl_stage2.yml
efrg07hr,efrg07hr-stage1,efrg07hr-stage2-q-fn-fixed,./config/config_jepa_ema_2drope_qkrms_student_healpix.yml,./config/config_jepa_ema_2drope_qkrms_student_healpix.yml,sweep_jepa_random_student_rate_stage1_select_qzt_log_q_healpix.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning_q_abl_stage2.yml
74irtwrk,74irtwrk-stage1,74irtwrk-stage2-q-fn-fixed,./config/config_jepa_ema_2drope_qkrms_random.yml,./config/config_jepa_ema_2drope_qkrms_random.yml,sweep_jepa_random_student_rate_stage1_select_qzt_log_q_random.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning_q_abl_stage2.yml
neo4najl,neo4najl-stage1,neo4najl-stage2-q-fn-fixed,./config/config_jepa_ema_2drope_qkrms_random.yml,./config/config_jepa_ema_2drope_qkrms_random.yml,sweep_jepa_random_student_rate_stage1_select_qzt_log_q_random.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning_q_abl_stage2.yml
w4qhr4f8,w4qhr4f8-stage1,w4qhr4f8-stage2-q-fn-fixed,./config/config_jepa_ema_2drope_qkrms_random.yml,./config/config_jepa_ema_2drope_qkrms_random.yml,sweep_jepa_random_student_rate_stage1_select_qzt_log_q_random.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning_q_abl_stage2.yml
scqfy77t,scqfy77t-stage1,scqfy77t-stage2-q-fn-fixed,./config/config_jepa_ema_2drope_qkrms_random.yml,./config/config_jepa_ema_2drope_qkrms_random.yml,sweep_jepa_random_student_rate_stage1_select_qzt_log_q_random.csv,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning_q_abl_stage2.yml
