base_run_id,source_run_id,failed_run_id,target_run_id,failure_mode,finetune_config,output_file
a84eyrht,a84eyrht-stage1,a84eyrht-stage2_654174,a84eyrht-stage3-fn,checkpoint_shape_mismatch,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning_q_abl_stage3.yml,/capstor/store/cscs/userlab/ch17/shared_work/output/output_a84eyrht-stage2_654174.txt
i7zspy9z,i7zspy9z-stage1,i7zspy9z-stage2_654165,i7zspy9z-stage3-fn,checkpoint_shape_mismatch,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning_q_abl_stage3.yml,/capstor/store/cscs/userlab/ch17/shared_work/output/output_i7zspy9z-stage2_654165.txt
neo4najl,neo4najl-stage1,neo4najl-stage2_654152,neo4najl-stage3-fn,checkpoint_shape_mismatch,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning_q_abl_stage3.yml,/capstor/store/cscs/userlab/ch17/shared_work/output/output_neo4najl-stage2_654152.txt
scqfy77t,scqfy77t-stage1,scqfy77t-stage2_654159,scqfy77t-stage3-fn,checkpoint_shape_mismatch,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning_q_abl_stage3.yml,/capstor/store/cscs/userlab/ch17/shared_work/output/output_scqfy77t-stage2_654159.txt
st8zgih3,st8zgih3-stage1,st8zgih3-stage2_654162,st8zgih3-stage3-fn,checkpoint_shape_mismatch,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning_q_abl_stage3.yml,/capstor/store/cscs/userlab/ch17/shared_work/output/output_st8zgih3-stage2_654162.txt
w4qhr4f8,w4qhr4f8-stage1,w4qhr4f8-stage2_654156,w4qhr4f8-stage3-fn,checkpoint_shape_mismatch,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning_q_abl_stage3.yml,/capstor/store/cscs/userlab/ch17/shared_work/output/output_w4qhr4f8-stage2_654156.txt
6fyxobrt,6fyxobrt-stage1,6fyxobrt-stage2_653681,6fyxobrt-stage3-fn,scheduler_zero_division,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning.yml,/capstor/store/cscs/userlab/ch17/shared_work/output/output_6fyxobrt-stage2_653681.txt
8kerb5s3,8kerb5s3-stage1,8kerb5s3-stage2_653636,8kerb5s3-stage3-fn,scheduler_zero_division,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning.yml,/capstor/store/cscs/userlab/ch17/shared_work/output/output_8kerb5s3-stage2_653636.txt
a7u6r2a3,a7u6r2a3-stage1,a7u6r2a3-stage2_653648,a7u6r2a3-stage3-fn,scheduler_zero_division,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning.yml,/capstor/store/cscs/userlab/ch17/shared_work/output/output_a7u6r2a3-stage2_653648.txt
fgomoie3,fgomoie3-stage1,fgomoie3-stage2_653652,fgomoie3-stage3-fn,scheduler_zero_division,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning.yml,/capstor/store/cscs/userlab/ch17/shared_work/output/output_fgomoie3-stage2_653652.txt
fu0wu6ik,fu0wu6ik-stage1,fu0wu6ik-stage2_653642,fu0wu6ik-stage3-fn,scheduler_zero_division,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning.yml,/capstor/store/cscs/userlab/ch17/shared_work/output/output_fu0wu6ik-stage2_653642.txt
m0wkjh43,m0wkjh43-stage1,m0wkjh43-stage2_653671,m0wkjh43-stage3-fn,scheduler_zero_division,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning.yml,/capstor/store/cscs/userlab/ch17/shared_work/output/output_m0wkjh43-stage2_653671.txt
ykc5xtj5,ykc5xtj5-stage1,ykc5xtj5-stage2_653658,ykc5xtj5-stage3-fn,scheduler_zero_division,/users/walmikae/weathergen/WeatherGenerator/config/config_jepa_finetuning.yml,/capstor/store/cscs/userlab/ch17/shared_work/output/output_ykc5xtj5-stage2_653658.txt
