base_run_id,source_csv,stage1_exists,nonempty_downstream_count,nonempty_downstream_runs,nonempty_downstream_details
0tqmjvo3,sweep_jepa_random_student_rate_stage1_select_log_random.csv,True,1,0tqmjvo3-stage2-fn-fixed,"0tqmjvo3-stage2-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
2a7j9xfb,sweep_jepa_random_student_rate_stage1_select_log_cropping.csv,True,1,2a7j9xfb-stage2-fn-fixed,"2a7j9xfb-stage2-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
48xqti94,sweep_jepa_random_student_rate_stage1_select_log_healpix.csv,True,1,48xqti94-stage2-fn-fixed,"48xqti94-stage2-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
4pmuvrrw,sweep_jepa_random_student_rate_stage1_select_log_cropping.csv,True,1,4pmuvrrw-stage2-fn-fixed,"4pmuvrrw-stage2-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
6fyxobrt,sweep_jepa_random_student_rate_stage1_select_log_cropping.csv,True,1,6fyxobrt-stage2-fn-fixed,"6fyxobrt-stage2-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
74irtwrk,sweep_jepa_random_student_rate_stage1_select_qzt_log_q_random.csv,True,1,74irtwrk-stage2-q-fn-fixed,"74irtwrk-stage2-q-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
7baism07,sweep_jepa_random_student_rate_stage1_select_log_random.csv,True,1,7baism07-stage2-fn-fixed,"7baism07-stage2-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
8kerb5s3,sweep_jepa_random_student_rate_stage1_select_log_healpix.csv,True,1,8kerb5s3-stage2-fn-fixed,"8kerb5s3-stage2-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
a7u6r2a3,sweep_jepa_random_student_rate_stage1_select_log_healpix.csv,True,1,a7u6r2a3-stage2-fn-fixed,"a7u6r2a3-stage2-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
a84eyrht,sweep_jepa_random_student_rate_stage1_select_qzt_log_q_healpix.csv,True,1,a84eyrht-stage2-q-fn-fixed,"a84eyrht-stage2-q-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
agu7r3d2,sweep_jepa_random_student_rate_stage1_select_log_random.csv,True,1,agu7r3d2-stage2-fn-fixed,"agu7r3d2-stage2-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
dbs1q8lf,sweep_jepa_random_student_rate_stage1_select_log_random.csv,True,1,dbs1q8lf-stage2-fn-fixed,"dbs1q8lf-stage2-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
efrg07hr,sweep_jepa_random_student_rate_stage1_select_qzt_log_q_healpix.csv,True,1,efrg07hr-stage2-q-fn-fixed,"efrg07hr-stage2-q-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
elt0z1z8,sweep_jepa_random_student_rate_stage1_select_log_healpix.csv,True,1,elt0z1z8-stage2-fn-fixed,"elt0z1z8-stage2-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
esr3lc5s,sweep_jepa_random_student_rate_stage1_select_qzt_log_q_healpix.csv,True,1,esr3lc5s-stage2-q-fn-fixed,"esr3lc5s-stage2-q-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
fgomoie3,sweep_jepa_random_student_rate_stage1_select_log_cropping.csv,True,1,fgomoie3-stage2-fn-fixed,"fgomoie3-stage2-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
fu0wu6ik,sweep_jepa_random_student_rate_stage1_select_log_healpix.csv,True,1,fu0wu6ik-stage2-fn-fixed,"fu0wu6ik-stage2-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
h24te6kq,sweep_jepa_random_student_rate_stage1_select_log_random.csv,True,1,h24te6kq-stage2-fn-fixed,"h24te6kq-stage2-fn-fixed[files=133,metrics=1,train_log=0,perf_log=0,chkpt=132]"
