run_id,lr_max,student_mask_rate,teacher_mask_rate,sweep_name,stage1_config
fgomoie3,3.48e-06,0.78,1.0,jepa_random_student_rate,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml
2a7j9xfb,3.50e-06,0.48,1.0,jepa_random_student_rate,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml
ykc5xtj5,3.39e-05,0.67,1.0,jepa_random_student_rate,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml
k6fvsuw0,1.32e-06,0.38,1.0,jepa_random_student_rate,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml
4pmuvrrw,4.77e-06,0.19,1.0,jepa_random_student_rate,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml
wpiya6o0,4.24e-06,0.13,1.0,jepa_random_student_rate,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml
m0wkjh43,2.10e-06,0.68,1.0,jepa_random_student_rate,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml
riw0cpsk,2.57e-06,0.14,1.0,jepa_random_student_rate,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml
lzdwh3bg,1.28e-05,0.19,1.0,jepa_random_student_rate,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml
6fyxobrt,3.49e-06,0.73,1.0,jepa_random_student_rate,./config/config_jepa_frozen_2drope_qkrms_student_cropping.yml
