run_id,lr_value,mask_value,hl_mask_value,sweep_name,stage1_config,finetune_config,overlay_config,lr_path,mask_path,hl_mask_path
k8qnirqj,2.51e-05,0.39,4,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_healpix.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_134633_01_k8qnirqj.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
4nvjpu5r,4.51e-06,0.13,2,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_healpix.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_134633_02_4nvjpu5r.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
9mlqgl63,2.28e-05,0.51,1,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_healpix.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_134633_03_9mlqgl63.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
erihtnyc,3.38e-05,0.78,2,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_healpix.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_134633_04_erihtnyc.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
uys3nmw2,4.00e-06,0.78,3,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_healpix.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_134633_05_uys3nmw2.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
n17dtqzm,2.42e-06,0.86,2,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_healpix.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_134633_06_n17dtqzm.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
9d03v15z,3.64e-06,0.73,3,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_healpix.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_134633_07_9d03v15z.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
ov9pan2u,2.12e-05,0.35,1,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_healpix.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_134633_08_ov9pan2u.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
pod5bb91,1.00e-05,0.21,4,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_healpix.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_134633_09_pod5bb91.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
2nr70g1p,1.22e-05,0.78,4,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_healpix.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_134633_10_2nr70g1p.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
ggmv2nrd,3.32e-05,0.59,1,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_healpix.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_134633_11_ggmv2nrd.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
fxdugq1n,1.92e-06,0.13,3,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_healpix.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_134633_12_fxdugq1n.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
